wavelength_nm,n,k
269.9292196973,2.2219775423,1.5935108077
276.4831467857,2.1126859924,1.5787355805
279.2894951223,2.0972420958,1.5724089257
284.79553949,2.0669412316,1.5150991902
288.3059682807,2.0476226393,1.4927851945
292.7793038231,2.026394607,1.4643504942
295.8295819593,2.0119196359,1.4415267019
296.6335348805,2.0161640091,1.4355111014
306.9573680699,2.0706674503,1.4801369638
311.9516112706,2.0970339593,1.476681714
313.9775746386,2.1056062846,1.4752800583
316.6755363788,2.1170219922,1.5415398887
323.7744327656,2.1470590845,1.5596339781
328.2932899946,2.1733348929,1.5711519102
335.5972542606,2.2158052688,1.5701917423
340.4065876034,2.2342820384,1.5695595147
347.4200757556,2.2612268549,1.5556741934
351.4875018933,2.2627050343,1.5476214929
358.760068829,2.2653480225,1.5074715362
359.2428972505,2.2655234914,1.5055567057
369.3002109042,2.2433323129,1.4656707943
371.0657187455,2.2394367697,1.4622691961
381.1513159241,2.1938823715,1.4428373094
382.8885402405,2.1860357158,1.445910642
392.16577816,2.1204231687,1.4623230523
392.2368185844,2.1203093598,1.4624487303
402.5656837076,2.1037622088,1.5014578091
406.321804462,2.0988158444,1.51564357
415.1325988631,2.0872130759,1.535608898
417.6288598599,2.0802795647,1.5412654447
425.1996708655,2.0592511938,1.5399727787
426.9554203581,2.0543744967,1.5903063693
427.0874575058,2.053869072,1.5940915926
434.0093418537,2.0273728055,1.5923818705
435.826336495,2.0204175355,1.6464341931
439.6141989285,2.0059179849,1.6445604089
442.2684084052,2.0043898439,1.6432474214
443.6883882685,2.0035723013,1.6978316892
450.6010633481,1.9995923811,1.7431924667
451.4635024992,2.0006893744,1.7488517679
452.3628230793,2.0018332797,1.7064428146
459.337145945,2.0107043818,1.7480616439
460.1079921564,2.011684872,1.8023758668
462.423884843,2.0146306089,1.7999384759
467.0456080597,2.0242884323,1.7950742842
468.9333947,2.0282332618,1.8530420475
474.246706338,2.0393362689,1.851612926
475.3046746112,2.0422473745,1.8513283643
477.1400227338,2.0472975185,1.9124115667
486.069527833,2.0718679454,1.9614703105
486.8673677833,2.0744464302,1.965853647
497.0100810922,2.1072259773,2.0181237732
497.8923493279,2.1100773202,2.0223062705
507.2073434474,2.1419953417,2.0664651062
509.7151708229,2.1505884645,2.0785652076
519.9036339893,2.1873507859,2.1277238692
521.5379923179,2.1932479271,2.1335424628
532.0169315981,2.2299702834,2.1708492685
533.3608138129,2.2346797793,2.1750980106
544.130229207,2.2697642801,2.2091459857
545.1836353078,2.2731960566,2.2119469161
556.2435268159,2.3056381416,2.2413543647
557.0064568028,2.3078760514,2.2431953025
563.9519889306,2.3278888558,2.2599547597
568.8292782978,2.341942241,2.2600432873
580.6520997928,2.3694100244,2.2602578833
592.4749212877,2.3935018792,2.2604724793
595.8870462631,2.4007206289,2.2605344128
604.2977427827,2.4185144418,2.2815859076
608.0003438719,2.4255307593,2.2908533074
616.1205642777,2.4409183322,2.312866593
620.1136414808,2.4485369203,2.3236915145
627.9433857727,2.4634756739,2.3469528706
632.2269390896,2.472482435,2.359678862
639.7662072676,2.4883347852,2.3825999138
644.3402366985,2.4985459869,2.3965059804
651.5890287626,2.5147284096,2.41875138
657.2159096813,2.5288237148,2.4360193902
663.4118502576,2.5443445113,2.4518476299
668.5668319162,2.5592649447,2.4650166209
675.2346717526,2.5785641522,2.488061879
680.6801295251,2.5954561784,2.506882364
687.0574932475,2.6152390139,2.5256630537
692.793427134,2.6343721743,2.5425547975
698.8803147425,2.6546759991,2.5571569582
704.9067247428,2.6746998725,2.571614036
710.7031362375,2.693959533,2.5801446933
717.0200223517,2.7131448224,2.5894413401
722.5259577324,2.7298671382,2.5945385615
729.1333199605,2.7472761294,2.6006554491
734.3487792274,2.7610177529,2.6045798349
741.2466175694,2.7763271672,2.6097701312
746.1716007224,2.787257926,2.612878443
753.3599151783,2.8004130707,2.6174152144
757.9944222174,2.8088945599,2.6211032696
765.4732127871,2.8193780183,2.6270547532
769.8172437123,2.8254673007,2.631226898
777.586510396,2.8340386345,2.6386887477
781.6400652073,2.8385106616,2.6440572555
789.6998080048,2.8449964433,2.6547315388
793.4628867023,2.8480246425,2.6608240839
801.8131056137,2.8556112104,2.6743433559
805.2857081973,2.8587662338,2.6805975608
813.9264032226,2.8649344674,2.6961595712
817.1085296922,2.8672060555,2.7034900127
826.0397008314,2.8756682056,2.7240641249
828.9313511872,2.8784080007,2.7307755338
838.1529984403,2.8890604129,2.7521786212
840.7541726822,2.8920651668,2.7587342948
850.2662960492,2.9039173446,2.7827074586
852.5769941772,2.906796492,2.7890917256
862.379593658,2.9210462908,2.8161754937
864.3998156721,2.9239830381,2.8218097198
874.4928912669,2.940489102,2.8499584429
876.2226371671,2.9433179024,2.8545277324
886.6061888757,2.9608380893,2.8819568792
888.0454586621,2.963266572,2.8859334621
898.7194864846,2.9850174821,2.9154249143
899.8682801571,2.9873584268,2.9186188463
910.8327840935,3.011978228,2.9491028922
911.691101652,3.0139055024,2.9514222863
922.9460817023,3.0410765964,2.9818361279
923.513923147,3.042447445,2.9832672443
935.0593793112,3.0682218706,3.0123649653
935.336744642,3.0688410693,3.0130591949
947.1595661369,3.0998382328,3.0426510444
947.1726769201,3.0998727769,3.0426838599
958.9823876319,3.1309888476,3.0699914023
959.2859745289,3.1318123763,3.0706933849
970.8052091269,3.1630601702,3.096830144
971.3992721378,3.1647333464,3.0981780531
982.6280306219,3.1963591032,3.1227799766
983.5125697466,3.1987815205,3.1247179792
994.4508521168,3.2287373284,3.1462189653
995.6258673555,3.2320467545,3.1485286502
1006.2736736118,3.2620362614,3.1692741145
1007.7391649644,3.2666963996,3.1721293785
1018.0964951068,3.299631831,3.1897957729
1019.8524625732,3.3046914625,3.1927909091
1029.9193166018,3.3336980205,3.2079553836
1031.9657601821,3.3395946278,3.2110380985
1041.7421380967,3.3677642101,3.2261038869
1044.079057791,3.3743764672,3.2297051734
1053.5649595917,3.4012165944,3.241364023
1056.1923553998,3.4090258644,3.2445932797
1065.3877810867,3.4363569431,3.2543810857
1068.3056530087,3.4435525806,3.2574869304
1077.2106025817,3.4655126909,3.2675057267
1080.4189506175,3.4749237687,3.2711153805
1089.0334240766,3.5001926857,3.279239691
1092.5322482264,3.50959299,3.2825394323
1100.8562455716,3.5319571056,3.2898848563
1104.6455458353,3.5413509171,3.2932286846
1112.6790670666,3.5612663048,3.2986469768
1116.7588434441,3.5723333605,3.3013986245
1124.5018885616,3.5933376274,3.308298493
1128.872141053,3.6045686983,3.3121928482
1136.3247100565,3.6237209856,3.3165734868
1140.9854386618,3.6338837662,3.3193130746
1148.1475315515,3.6495008047,3.3232126445
1153.0987362707,3.6610038642,3.3259084443
1159.9703530465,3.6769685882,3.3298880497
1165.2120338796,3.6882620767,3.3329236994
1171.7931745414,3.7024415047,3.3352522783
1177.3253314884,3.7152942818,3.3372096994
1183.6159960364,3.7299092882,3.3400896636
1189.4386290973,3.7418498829,3.3427553556
1195.4388175314,3.7541545942,3.3452943497
1201.5519267062,3.7662941567,3.3478811264
1207.2616390264,3.7776326438,3.3506930384
1213.665224315,3.7903490409,3.353846668
1219.0844605213,3.8011106933,3.3561398307
1225.7785219239,3.8135350864,3.3589724388
1230.9072820163,3.8230542299,3.3609649067
1237.8918195327,3.8355644857,3.3636783242
1242.7301035113,3.8442305098,3.3648451765
1250.0051171416,3.8559391093,3.3665996967
1254.5529250063,3.8632584716,3.3690364472
1262.1184147505,3.876023737,3.373090095
1266.3757465012,3.8832071411,3.3748915951
1274.2317123593,3.896156634,3.3782158658
1278.1985679962,3.9026954568,3.3798256983
1286.3450099682,3.9160180254,3.3831316939
1290.0213894912,3.9220303211,3.3848466564
1298.4583075771,3.9347328817,3.3887823214
1301.8442109862,3.9398306724,3.3900096838
1310.5716051859,3.9528572966,3.3931732928
1313.6670324811,3.9574775724,3.3949123196
1322.6849027948,3.9721082166,3.3999786052
1325.4898539761,3.9766589854,3.40080092
1334.7982004036,3.9881364403,3.4035298058
1337.3126754711,3.9912368593,3.4049860305
1346.9114980125,4.0048166762,3.4105450608
1349.135496966,4.0079630515,3.4118908784
1359.0247956214,4.0218254602,3.41787523
1360.958318461,4.0245357924,3.4186263827
1371.1380932302,4.0368234915,3.4225811154
1372.781139956,4.0388067637,3.4233333277
1383.2513908391,4.0547065908,3.4281267716
1384.603961451,4.0567605663,3.4290038636
1395.364688448,4.0708668443,3.4359817975
1396.4267829459,4.072259148,3.4365232642
1407.4779860568,4.0860290309,3.4421572818
1408.2496044409,4.0869904732,3.4425640342
1419.5912836657,4.1027415624,3.4485427088
1420.0724259359,4.1034097628,3.4488296949
1431.7045812745,4.1185074229,3.4557679065
1431.8952474309,4.1187548932,3.455906417
1443.7180689258,4.1333327671,3.4644951671
1443.8178788834,4.1334661993,3.4645676746
1455.5408904208,4.1491382514,3.4720680252
1455.9311764923,4.1496346821,3.4723177291
1467.3637119158,4.1641764793,3.4791368738
1468.0444741011,4.1650070426,3.4795429269
1479.1865334108,4.1786009019,3.4864784762
1480.15777171,4.1798993137,3.4870830387
1491.0093549057,4.1944063862,3.4944020022
1492.2710693188,4.1964136283,3.4952529787
1502.7127539614,4.2130251445,3.5012096559
1504.3843669277,4.2152828589,3.5021632624
1514.6549978957,4.2291545816,3.5099804284
1516.4976645366,4.2328308057,3.5113829158
1526.0299852431,4.2518483244,3.5179772992
1528.6109621454,4.2559044093,3.5197627985
1538.3006408856,4.2711320384,3.525710322
1540.7242597543,4.2742147993,3.527197939
1550.1234623806,4.2861702662,3.5337002323
1552.8375573632,4.2897634105,3.5355778216
1561.9462838756,4.3018222992,3.5416423629
1564.950854972,4.3054880234,3.5436427902
1573.7691053705,4.3162467218,3.5498196026
1577.0641525809,4.3201813067,3.5521276442
1585.5919268655,4.3303642418,3.5569185913
1589.1774501897,4.3352041301,3.5589329566
1597.4147483605,4.3463231774,3.5658449602
1601.2907477986,4.3508508568,3.5690973521
1609.2375698555,4.3601337948,3.5743883036
1613.4040454075,4.365325255,3.5771623207
1621.0603913504,4.37486512,3.5827906613
1625.5173430163,4.3808812986,3.5860670601
1632.8832128454,4.3908240557,3.5912265412
1637.6306406252,4.3964929146,3.5945519141
1644.7060343404,4.4049415757,3.5984655924
1649.7439382341,4.4106957366,3.6012522551
1656.5288558354,4.4184452905,3.6064751773
1661.8572358429,4.4257760759,3.6105768799
1668.3516773303,4.4347111287,3.6147320057
1673.9705334518,4.441712266,3.6183269344
1680.1744988253,4.4494424539,3.6226725505
1686.0838310606,4.4568055267,3.6268117884
1691.9973203203,4.4641737791,3.6306977128
1698.1971286695,4.4707722236,3.6347717856
1703.8201418153,4.4767567861,3.6381744625
1710.3104262784,4.4856861197,3.6421019548
1715.6429633102,4.4930226243,3.6463917001
1722.4237238872,4.5019995584,3.651846465
1727.4657848052,4.5086746574,3.6550286682
1734.5370214961,4.5158334442,3.6594915481
1739.2886063002,4.5206438591,3.6626551278
1746.650319105,4.5296255101,3.6675565167
1751.1114277952,4.5350682817,3.6704880399
1758.7636167138,4.545198885,3.675516514
1762.9342492901,4.5507203147,3.6785824335
1770.8769143227,4.5602045764,3.6844212533
1774.7570707851,4.5648378347,3.6866347697
1782.9902119315,4.5740277914,3.6913315371
1786.5798922801,4.5780346469,3.6933482378
1795.1035095404,4.5893189194,3.6981368495
1798.402713775,4.5936866799,3.7004478029
1807.2168071493,4.6030675031,3.7066217035
1810.22553527,4.6062696869,3.7087031176
1819.3301047581,4.6178503904,3.7150015861
1822.048356765,4.6213079147,3.7165522698
1831.443402367,4.6339897376,3.7219118698
1833.87117826,4.6372668504,3.7235703472
1843.5566999758,4.6473237116,3.7301867811
1845.6939997549,4.6495429547,3.7317209123
1855.6699975847,4.6617141618,3.7388815778
1857.5168212499,4.6639673773,3.7397910992
1867.7832951936,4.6764929795,3.7448471194
1869.3396427449,4.6783917999,3.7456810224
1879.8965928024,4.6886029689,3.7513375177
1881.2699444353,4.689931338,3.7522042832
1892.0098904113,4.7044337743,3.7589826009
1892.770325344,4.70546061,3.7594295865
1899.9714984364,4.7115372816,3.7636624539
1904.1231880202,4.7097437646,3.7661028274
1916.236485629,4.7045108576,3.772068369
1928.3497832379,4.6992779506,3.7792935667
1940.4630808467,4.6940450436,3.7866237359
1952.5763784556,4.6888121367,3.7924843061
1962.4891454326,4.6845298521,3.7990841732
1964.6896760645,4.6871217835,3.8005492747
1976.8029736733,4.7013896314,3.8065148163
1976.8198381537,4.7014094955,3.8065237063
1988.6426596487,4.7146063077,3.8127560111
1988.9162712822,4.7149472299,3.8129002433
2000.4654811437,4.7293376329,3.8200892299
2001.0295688911,4.7299526333,3.8204403551
2012.2883026387,4.7422275425,3.8275460962
2013.1428664999,4.7430261373,3.8280854383
2024.1111241336,4.7532760364,3.8332019261
2025.2561641088,4.7546433179,3.8337360659
2035.9339456286,4.7673935564,3.8404751497
2037.3694617176,4.7689586373,3.8413811491
2047.7567671236,4.7802834659,3.8454165051
2049.4827593265,4.7822996529,3.8460870345
2059.5795886186,4.7940940833,3.8507095201
2061.5960569354,4.7961878623,3.8516326907
2071.4024101135,4.8063701877,3.856547091
2073.7093545442,4.8089452339,3.8577032036
2083.2252316085,4.8195669998,3.8631317345
2085.8226521531,4.8224662799,3.8646134873
2095.0480531035,4.832763812,3.8693166921
2097.935949762,4.8355375333,3.8707889716
2106.8708745984,4.8441192085,3.8748795193
2110.0492473708,4.8477494621,3.8763346278
2118.6936960934,4.8576229233,3.8790936147
2122.1625449797,4.8614949049,3.8802007424
2130.5165175884,4.8708197355,3.885979954
2134.2758425885,4.8749183645,3.8885806251
2142.3393390834,4.883709645,3.8909445638
2146.3891401974,4.8877044607,3.8921318256
2154.1621605783,4.8953719442,3.8961619511
2158.5024378063,4.8997659591,3.8984122813
2165.9849820733,4.9073411459,3.900994958
2170.6157354151,4.9120292333,3.9025933099
2177.8078035683,4.9193103476,3.9070701254
2182.729033024,4.9244202553,3.9101334218
2189.6306250633,4.931586452,3.9132332703
2194.8423306328,4.9390272927,3.9155741066
2201.4534465582,4.9484660954,3.9173220096
