wavelength,n
269.9292196973,1.4980733539
276.4831467857,1.4954681685
279.2894951223,1.4944587758
284.79553949,1.4925253587
288.3059682807,1.4913535764
292.7793038231,1.4899636437
295.8295819593,1.4890158764
296.6335348805,1.4887660761
306.9573680699,1.4859133436
311.9516112706,1.4846783977
313.9775746386,1.484182974
316.6755363788,1.4835232216
323.7744327656,1.4819379983
328.2932899946,1.4809551502
335.5972542606,1.4795141032
340.4065876034,1.4785825895
347.4200757556,1.4773588397
351.4875018933,1.4766563537
358.760068829,1.4755072278
359.2428972505,1.4754328008
369.3002109042,1.4739446836
371.0657187455,1.4737014294
381.1513159241,1.4723531237
382.8885402405,1.4721389308
392.16577816,1.4710010789
392.2368185844,1.4709932343
402.5656837076,1.4698526713
406.321804462,1.4694472319
415.1325988631,1.4685743253
417.6288598599,1.4683270147
425.1996708655,1.4676324249
426.9554203581,1.4674761867
427.0874575058,1.4674644372
434.0093418537,1.4668484822
435.826336495,1.4666987142
439.6141989285,1.4663956876
442.2684084052,1.4661833525
443.6883882685,1.466069755
450.6010633481,1.4655231535
451.4635024992,1.4654610579
452.3628230793,1.4653963069
459.337145945,1.4648941561
460.1079921564,1.4648386553
462.423884843,1.4646719112
467.0456080597,1.4643487228
468.9333947,1.4642262357
474.246706338,1.4638814872
475.3046746112,1.463812842
477.1400227338,1.4636937574
486.069527833,1.4631394847
486.8673677833,1.4630927643
497.0100810922,1.4624988213
497.8923493279,1.4624471569
507.2073434474,1.4619473724
509.7151708229,1.4618146503
519.9036339893,1.4612915139
521.5379923179,1.4612132163
532.0169315981,1.4607111993
533.3608138129,1.4606468176
544.130229207,1.4601720584
545.1836353078,1.4601262916
556.2435268159,1.4596558848
557.0064568028,1.4596257696
563.9519889306,1.4593516084
568.8292782978,1.459159087
580.6520997928,1.4587188121
592.4749212877,1.4582940256
595.8870462631,1.4581792771
604.2977427827,1.4579036231
608.0003438719,1.4577822732
616.1205642777,1.4575212566
620.1136414808,1.4574016105
627.9433857727,1.4571670048
632.2269390896,1.457038655
639.7662072676,1.4568221663
644.3402366985,1.4566965452
651.5890287626,1.4564974644
657.2159096813,1.4563429279
663.4118502576,1.4561838784
668.5668319162,1.4560537352
675.2346717526,1.4558853984
680.6801295251,1.4557479218
687.0574932475,1.4555976599
692.793427134,1.4554641396
698.8803147425,1.4553224499
704.9067247428,1.4551821679
710.7031362375,1.4550561476
717.0200223517,1.4549201305
722.5259577324,1.454801575
729.1333199605,1.4546593032
734.3487792274,1.4545529432
741.2466175694,1.4544150642
746.1716007224,1.4543166201
753.3599151783,1.4541729348
757.9944222174,1.4540827424
765.4732127871,1.4539434432
769.8172437123,1.4538625317
777.586510396,1.4537178221
781.6400652073,1.453642321
789.6998080048,1.4535003532
793.4628867023,1.4534347739
801.8131056137,1.4532892543
805.2857081973,1.4532287372
813.9264032226,1.4530818641
817.1085296922,1.4530297555
826.0397008314,1.4528835042
828.9313511872,1.4528361523
838.1529984403,1.4526851443
840.7541726822,1.4526441644
850.2662960492,1.4524971591
852.5769941772,1.4524614484
862.379593658,1.452309954
864.3998156721,1.4522787324
874.4928912669,1.4521274614
876.2226371671,1.4521021123
886.6061888757,1.4519499433
888.0454586621,1.4519288511
898.7194864846,1.4517724253
899.8682801571,1.4517560507
910.8327840935,1.4516029277
911.691101652,1.451590941
922.9460817023,1.4514337614
923.513923147,1.4514258313
935.0593793112,1.451267112
935.336744642,1.4512634024
947.1595661369,1.4511052787
947.1726769201,1.4511051034
958.9823876319,1.4509471551
959.2859745289,1.4509430948
970.8052091269,1.4507926488
971.3992721378,1.4507850018
982.6280306219,1.4506404608
983.5125697466,1.4506290747
994.4508521168,1.4504882728
995.6258673555,1.4504731475
1006.2736736118,1.4503397377
1007.7391649644,1.4503214905
1018.0964951068,1.4501925288
1019.8524625732,1.4501706648
1029.9193166018,1.4500453199
1031.9657601821,1.4500198391
1041.7421380967,1.4499011157
1044.079057791,1.4498728214
1053.5649595917,1.4497579705
1056.1923553998,1.4497261592
1065.3877810867,1.4496148252
1068.3056530087,1.449579497
1077.2106025817,1.4494739396
1080.4189506175,1.4494359774
1089.0334240766,1.4493340481
1092.5322482264,1.4492926489
1100.8562455716,1.4491941566
1104.6455458353,1.4491493203
1112.6790670666,1.4490554751
1116.7588434441,1.4490080712
1124.5018885616,1.4489181028
1128.872141053,1.4488673237
1136.3247100565,1.4487807304
1140.9854386618,1.4487265762
1148.1475315515,1.4486436865
1153.0987362707,1.4485869145
1159.9703530465,1.4485081226
1165.2120338796,1.4484480199
1171.7931745414,1.4483725586
1177.3253314884,1.4483091253
1183.6159960364,1.4482369947
1189.4386290973,1.4481705722
1195.4388175314,1.4481023682
1201.5519267062,1.4480328806
1207.2616390264,1.4479679784
1213.665224315,1.4478951889
1219.0844605213,1.4478335886
1225.7785219239,1.4477574973
1230.9072820163,1.4476993416
1237.8918195327,1.4476202915
1242.7301035113,1.4475655325
1250.0051171416,1.4474831948
1254.5529250063,1.4474317233
1262.1184147505,1.4473460981
1266.3757465012,1.4472979142
1274.2317123593,1.4472090071
1278.1985679962,1.4471641177
1286.3450099682,1.4470719316
1290.0213894912,1.4470303293
1298.4583075771,1.4469348562
1301.8442109862,1.4468965409
1310.5716051859,1.4467977807
1313.6670324811,1.4467627525
1322.6849027948,1.4466604206
1325.4898539761,1.4466285599
1334.7982004036,1.4465228292
1337.3126754711,1.446494268
1346.9114980125,1.4463852378
1349.135496966,1.446359976
1359.0247956214,1.4462476464
1360.958318461,1.4462256841
1371.1380932302,1.4461092829
1372.781139956,1.4460904811
1383.2513908391,1.4459706679
1384.603961451,1.4459551902
1395.364688448,1.445832053
1396.4267829459,1.4458198992
1407.4779860568,1.4456934381
1408.2496044409,1.4456846083
1419.5912836657,1.4455536202
1420.0724259359,1.4455480541
1431.7045812745,1.445413486
1431.8952474309,1.4454112803
1443.7180689258,1.4452745065
1443.8178788834,1.4452733519
1455.5408904208,1.4451377328
1455.9311764923,1.4451332177
1467.3637119158,1.4449997425
1468.0444741011,1.4449917546
