wavelength,n
269.9292196973,
276.4831467857,
279.2894951223,
284.79553949,
288.3059682807,
292.7793038231,
295.8295819593,
296.6335348805,
306.9573680699,
311.9516112706,
313.9775746386,
316.6755363788,
323.7744327656,
328.2932899946,
335.5972542606,
340.4065876034,
347.4200757556,
351.4875018933,
358.760068829,
359.2428972505,
369.3002109042,
371.0657187455,
381.1513159241,
382.8885402405,
392.16577816,
392.2368185844,
402.5656837076,
406.321804462,
415.1325988631,
417.6288598599,
425.1996708655,
426.9554203581,
427.0874575058,
434.0093418537,
435.826336495,
439.6141989285,
442.2684084052,
443.6883882685,
450.6010633481,3.1447268631
451.4635024992,3.1421826676
452.3628230793,3.1395296719
459.337145945,3.1189554195
460.1079921564,3.1166814231
462.423884843,3.1098495397
467.0456080597,3.0962154562
468.9333947,3.0906464856
474.246706338,3.0749722163
475.3046746112,3.0718512099
477.1400227338,3.0664369329
486.069527833,3.0400948929
486.8673677833,3.037741265
497.0100810922,3.0078202608
497.8923493279,3.0052175695
507.2073434474,2.9911439956
509.7151708229,2.9884104638
519.9036339893,2.977305039
521.5379923179,2.9755235884
532.0169315981,2.9641015446
533.3608138129,2.9626367129
544.130229207,2.9508980502
545.1836353078,2.9497498375
556.2435268159,2.9376945558
557.0064568028,2.9368629621
563.9519889306,2.9292923321
568.8292782978,2.9239760867
580.6520997928,2.9110892112
592.4749212877,2.8982023358
595.8870462631,2.8944831196
604.2977427827,2.8872279559
608.0003438719,2.8848397782
616.1205642777,2.879602236
620.1136414808,2.8770267012
627.9433857727,2.8719765162
632.2269390896,2.8692136243
639.7662072676,2.8643507963
644.3402366985,2.8614005473
651.5890287626,2.8567250764
657.2159096813,2.8530957383
663.4118502576,2.8490993566
668.5668319162,2.8457743934
675.2346717526,2.8414736367
680.6801295251,2.8379613165
687.0574932475,2.8338479169
692.793427134,2.8301482395
698.8803147425,2.826222197
704.9067247428,2.8235912841
710.7031362375,2.82133648
717.0200223517,2.8188792113
722.5259577324,2.8167374024
729.1333199605,2.8141671385
734.3487792274,2.8121383249
741.2466175694,2.8094550658
746.1716007224,2.8075392473
753.3599151783,2.804742993
757.9944222174,2.8029401698
765.4732127871,2.8000309202
769.8172437123,2.7983410922
777.586510396,2.7953188475
781.6400652073,2.7937420146
789.6998080048,2.7906067747
793.4628867023,2.7891429371
801.8131056137,2.7861394712
805.2857081973,2.7852574301
813.9264032226,2.7830626936
817.1085296922,2.7822544335
826.0397008314,2.779985916
828.9313511872,2.7792514368
838.1529984403,2.7769091384
840.7541726822,2.7762484401
850.2662960492,2.7738323608
852.5769941772,2.7732454435
862.379593658,2.7707555832
864.3998156721,2.7702424468
874.4928912669,2.7676788056
876.2226371671,2.7672394502
886.6061888757,2.764602028
888.0454586621,2.7642364535
898.7194864846,2.7615252504
899.8682801571,2.7612334568
910.8327840935,2.7592284333
911.691101652,2.7590722195
922.9460817023,2.7570238131
923.513923147,2.756920466
935.0593793112,2.754819193
935.336744642,2.7547687125
947.1595661369,2.752616959
947.1726769201,2.7526145728
958.9823876319,2.7504652055
959.2859745289,2.7504099526
970.8052091269,2.7483134519
971.3992721378,2.7482053325
982.6280306219,2.7461616984
983.5125697466,2.7460007123
994.4508521168,2.7440099449
995.6258673555,2.7437960921
1006.2736736118,2.7422565697
1007.7391649644,2.742082909
1018.0964951068,2.7408555653
1019.8524625732,2.7406474832
1029.9193166018,2.739454561
1031.9657601821,2.7392120574
1041.7421380967,2.7380535566
1044.079057791,2.7377766317
1053.5649595917,2.7366525523
1056.1923553998,2.7363412059
1065.3877810867,2.7352515479
1068.3056530087,2.7349057801
1077.2106025817,2.7338505436
1080.4189506175,2.7334703544
1089.0334240766,2.7324495392
1092.5322482264,2.7320349286
1100.8562455716,2.7310485349
1104.6455458353,2.7305995028
1112.6790670666,2.7296475306
1116.7588434441,2.7291640771
1124.5018885616,2.7282465262
1128.872141053,2.7277286513
1136.3247100565,2.7268455219
1140.9854386618,2.7262932255
1148.1475315515,2.7254445175
1153.0987362707,2.7248577998
1159.9703530465,2.7240435132
1165.2120338796,2.723422374
1171.7931745414,2.7226425088
1177.3253314884,2.7219869482
1183.6159960364,2.7212415045
1189.4386290973,2.7205515225
1195.4388175314,2.7198405001
1201.5519267062,2.7191688622
1207.2616390264,2.7186863915
1213.665224315,2.7181452885
1219.0844605213,2.7176873631
1225.7785219239,2.7171217149
1230.9072820163,2.7166883347
1237.8918195327,2.7160981412
1242.7301035113,2.7156893063
1250.0051171416,2.7150745676
1254.5529250063,2.7146902778
1262.1184147505,2.714050994
1266.3757465012,2.7136912494
1274.2317123593,2.7130274203
1278.1985679962,2.712692221
1286.3450099682,2.7120038467
